OBJECTID,COMPKEY,UNITID,UNITID2,UNITIDSORT,UNITDESC,STNAME_ORD,ONSTREET,STATUS,PRIMARYDISTRICTCD,SECONDARYDISTRICTCD,OVERRIDEYN,XSTRLO,XSTRHI,ARTCLASS,ARTDESCRIPT,OWNER,BLOCKNBR,SPEEDLIMIT,SEGDIR,ONEWAY,ONEWAYDIR,FLOW,SEGLENGTH,SURFACEWIDTH,SURFACETYPE_1,SURFACEDATE_1,SURFACETYPE_2,SURFACEDATE_2,INTRLO,DIRLO,INTKEYLO,INTRHI,DIRHI,INTKEYHI,GIS_MID_X,GIS_MID_Y,SE_ANNO_CAD_DATA,SGNDBKROUTE,NGHBRHDGRNWY,NATIONHWYSYS,STREETTYPE,MJTRK_STR_FLAG,PVMTCONDINDX1,PVMTCONDINDX2,TRANCLASS,TRANDESCRIPT,OVERRIDECOMMENT,BLOCK_URL,SLOPE_PCT,PVMTCATEGORY,PARKBOULEVARD,Shape__Length
7273111,1001,10,70,100070,1ST AVE BETWEEN CHERRY ST AND COLUMBIA ST,1ST AVE,1ST AVE,INSVC,DISTRICT1, ,N,CHERRY ST,COLUMBIA ST,2,Minor Arterial, ,700,25,NW,N, , ,306,52,AC/PCC,10/31/2022 12:00:00 AM,,,1ST AVE AND CHERRY ST,NW,30354,1ST AVE AND COLUMBIA ST,SE,30348,1270072.893,223536.4085,System.Byte[],N,N,N,Downtown Neighborhood,,29,0,1,PRINCIPAL TRANSIT ROUTE,,http://wdcsqlpwrk03/ReportServer/Pages/ReportViewer.aspx?/DOT/Asset%20Management/Blocks/Block%20Report&StreetName=00010&StreetSegment=0070,0,ART,N,306.062269
7273112,1002,10,80,100080,1ST AVE BETWEEN COLUMBIA ST AND MARION ST,1ST AVE,1ST AVE,INSVC,DISTRICT7, ,N,COLUMBIA ST,MARION ST,2,Minor Arterial, ,800,25,NW,N, , ,306,52,AC/PCC,10/31/2022 12:00:00 AM,,,1ST AVE AND COLUMBIA ST,NW,30348,1ST AVE AND MARION ST,SE,29622,1269916.982,223799.7439,System.Byte[],N,N,N,Downtown Neighborhood,,29,0,1,PRINCIPAL TRANSIT ROUTE,,http://wdcsqlpwrk03/ReportServer/Pages/ReportViewer.aspx?/DOT/Asset%20Management/Blocks/Block%20Report&StreetName=00010&StreetSegment=0080,1,ART,N,305.9960385
7273113,1003,10,90,100090,1ST AVE BETWEEN MARION ST AND MADISON ST,1ST AVE,1ST AVE,INSVC,DISTRICT7, ,N,MARION ST,MADISON ST,2,Minor Arterial, ,900,25,NW,N, , ,306,52,AC/PCC,10/31/2022 12:00:00 AM,,,1ST AVE AND MARION ST,NW,29622,1ST AVE AND MADISON ST,SE,29621,1269761.261,224063.0003,System.Byte[],N,N,N,Downtown Neighborhood,,29,0,1,PRINCIPAL TRANSIT ROUTE,,http://wdcsqlpwrk03/ReportServer/Pages/ReportViewer.aspx?/DOT/Asset%20Management/Blocks/Block%20Report&StreetName=00010&StreetSegment=0090,1,ART,N,305.7326033
7273115,1007,10,130,100130,1ST AVE BETWEEN UNIVERSITY ST AND UNION ST,1ST AVE,1ST AVE,INSVC,DISTRICT7, ,N,UNIVERSITY ST,UNION ST,2,Minor Arterial, ,1300,25,NW,N, , ,426,52,AC/PCC,10/31/2022 12:00:00 AM,,,1ST AVE AND UNIVERSITY ST,NW,29604,1ST AVE AND UNION ST,SE,29599,1269107.114,225167.7148,System.Byte[],N,N,N,Downtown Neighborhood,,42,0,1,PRINCIPAL TRANSIT ROUTE,,http://wdcsqlpwrk03/ReportServer/Pages/ReportViewer.aspx?/DOT/Asset%20Management/Blocks/Block%20Report&StreetName=00010&StreetSegment=0130,6,ART,N,425.9626424
7273116,1008,10,140,100140,1ST AVE BETWEEN UNION ST AND PIKE ST,1ST AVE,1ST AVE,INSVC,DISTRICT7, ,N,UNION ST,PIKE ST,2,Minor Arterial, ,1400,25,NW,N, , ,426,52,AC/PCC,10/31/2022 12:00:00 AM,,,1ST AVE AND UNION ST,NW,29599,1ST AVE AND PIKE ST,SE,29593,1268890.208,225534.2326,System.Byte[],N,N,N,Downtown Neighborhood,,42,0,1,PRINCIPAL TRANSIT ROUTE,,http://wdcsqlpwrk03/ReportServer/Pages/ReportViewer.aspx?/DOT/Asset%20Management/Blocks/Block%20Report&StreetName=00010&StreetSegment=0140,6,ART,N,425.8196129
7273117,1009,10,150,100150,1ST AVE BETWEEN PIKE ST AND PINE ST,1ST AVE,1ST AVE,INSVC,DISTRICT7, ,N,PIKE ST,PINE ST,2,Minor Arterial, ,1500,25,NW,N, , ,426,104,AC/PCC,10/31/2022 12:00:00 AM,PCC,11/04/2017 00:00,1ST AVE AND PIKE ST,NW,29593,1ST AVE AND PINE ST,SE,29585,1268673.275,225900.774,System.Byte[],N,N,N,Downtown Neighborhood,,51,58,1,PRINCIPAL TRANSIT ROUTE,,http://wdcsqlpwrk03/ReportServer/Pages/ReportViewer.aspx?/DOT/Asset%20Management/Blocks/Block%20Report&StreetName=00010&StreetSegment=0150,5,ART,N,426.0315623
7273118,1010,10,160,100160,1ST AVE BETWEEN PINE ST AND STEWART ST,1ST AVE,1ST AVE,INSVC,DISTRICT7, ,N,PINE ST,STEWART ST,2,Minor Arterial, ,1600,25,NW,N, , ,198,52,AC/PCC,10/31/2022 12:00:00 AM,,,1ST AVE AND PINE ST,NW,29585,1ST AVE AND STEWART ST,SE,29584,1268514.463,226169.0752,System.Byte[],N,N,N,Downtown Neighborhood,,51,0,1,PRINCIPAL TRANSIT ROUTE,,http://wdcsqlpwrk03/ReportServer/Pages/ReportViewer.aspx?/DOT/Asset%20Management/Blocks/Block%20Report&StreetName=00010&StreetSegment=0160,3,ART,N,197.5286293
7273119,1012,10,200,100200,1ST AVE BETWEEN VIRGINIA ST AND LENORA ST,1ST AVE,1ST AVE,INSVC,DISTRICT7, ,N,VIRGINIA ST,LENORA ST,2,Minor Arterial, ,2000,25,NW,N, , ,426,52,AC/PCC,10/31/2022 12:00:00 AM,,,1ST AVE AND VIRGINIA ST,NW,29582,1ST AVE AND LENORA ST,SE,29560,1267999.347,226692.9689,System.Byte[],N,N,N,Downtown Neighborhood,,39,0,2,MAJOR TRANSIT ROUTE,,http://wdcsqlpwrk03/ReportServer/Pages/ReportViewer.aspx?/DOT/Asset%20Management/Blocks/Block%20Report&StreetName=00010&StreetSegment=0200,3,ART,N,425.9791365
7273120,1013,10,210,100210,1ST AVE BETWEEN LENORA ST AND BLANCHARD ST,1ST AVE,1ST AVE,INSVC,DISTRICT7, ,N,LENORA ST,BLANCHARD ST,2,Minor Arterial, ,2100,25,NW,N, , ,426,52,AC/PCC,10/31/2022 12:00:00 AM,,,1ST AVE AND LENORA ST,NW,29560,1ST AVE AND BLANCHARD ST,SE,29703,1267684.158,226979.7531,System.Byte[],N,N,N,Downtown Neighborhood,,39,0,2,MAJOR TRANSIT ROUTE,,http://wdcsqlpwrk03/ReportServer/Pages/ReportViewer.aspx?/DOT/Asset%20Management/Blocks/Block%20Report&StreetName=00010&StreetSegment=0210,4,ART,N,426.286462
7273121,1014,10,220,100220,1ST AVE BETWEEN BLANCHARD ST AND BELL ST,1ST AVE,1ST AVE,INSVC,DISTRICT7, ,N,BLANCHARD ST,BELL ST,2,Minor Arterial, ,2200,25,NW,N, , ,426,52,AC/PCC,10/31/2022 12:00:00 AM,,,1ST AVE AND BLANCHARD ST,NW,29703,1ST AVE AND BELL ST,SE,29701,1267368.977,227266.4868,System.Byte[],Y,N,N,Downtown Neighborhood,,39,0,2,MAJOR TRANSIT ROUTE,,http://wdcsqlpwrk03/ReportServer/Pages/ReportViewer.aspx?/DOT/Asset%20Management/Blocks/Block%20Report&StreetName=00010&StreetSegment=0220,2,ART,N,425.8996988
7273122,1015,10,230,100230,1ST AVE BETWEEN BELL ST AND BATTERY ST,1ST AVE,1ST AVE,INSVC,DISTRICT7, ,N,BELL ST,BATTERY ST,2,Minor Arterial, ,2300,25,NW,N, , ,426,52,AC/PCC,10/31/2022 12:00:00 AM,,,1ST AVE AND BELL ST,NW,29701,1ST AVE AND BATTERY ST,SE,29700,1267053.776,227553.0224,System.Byte[],Y,N,N,Downtown Neighborhood,,39,0,2,MAJOR TRANSIT ROUTE,,http://wdcsqlpwrk03/ReportServer/Pages/ReportViewer.aspx?/DOT/Asset%20Management/Blocks/Block%20Report&StreetName=00010&StreetSegment=0230,0,ART,N,426.0532884
7273123,1016,10,240,100240,1ST AVE BETWEEN BATTERY ST AND WALL ST,1ST AVE,1ST AVE,INSVC,DISTRICT7, ,N,BATTERY ST,WALL ST,2,Minor Arterial, ,2400,25,NW,N, , ,306,52,AC/PCC,10/31/2022 12:00:00 AM,,,1ST AVE AND BATTERY ST,NW,29700,1ST AVE AND WALL ST,SE,29691,1266783.305,227799.4087,System.Byte[],Y,N,N,Downtown Neighborhood,,57,0,2,MAJOR TRANSIT ROUTE,,http://wdcsqlpwrk03/ReportServer/Pages/ReportViewer.aspx?/DOT/Asset%20Management/Blocks/Block%20Report&StreetName=00010&StreetSegment=0240,3,ART,N,305.6883996
7273124,1017,10,250,100250,1ST AVE BETWEEN WALL ST AND VINE ST,1ST AVE,1ST AVE,INSVC,DISTRICT7, ,N,WALL ST,VINE ST,2,Minor Arterial, ,2500,25,NW,N, , ,307,52,AC/PCC,10/31/2022 12:00:00 AM,,,1ST AVE AND WALL ST,NW,29691,1ST AVE AND VINE ST,SE,29685,1266556.867,228005.4384,System.Byte[],Y,N,N,Downtown Neighborhood,,57,0,2,MAJOR TRANSIT ROUTE,,http://wdcsqlpwrk03/ReportServer/Pages/ReportViewer.aspx?/DOT/Asset%20Management/Blocks/Block%20Report&StreetName=00010&StreetSegment=0250,2,ART,N,306.5935458
7273125,1018,10,260,100260,1ST AVE BETWEEN VINE ST AND CEDAR ST,1ST AVE,1ST AVE,INSVC,DISTRICT7, ,N,VINE ST,CEDAR ST,2,Minor Arterial, ,2600,25,NW,N, , ,306,52,AC/PCC,10/31/2022 12:00:00 AM,,,1ST AVE AND VINE ST,NW,29685,1ST AVE AND CEDAR ST,SE,29684,1266330.289,228211.6226,System.Byte[],Y,N,N,Downtown Neighborhood,,57,0,2,MAJOR TRANSIT ROUTE,,http://wdcsqlpwrk03/ReportServer/Pages/ReportViewer.aspx?/DOT/Asset%20Management/Blocks/Block%20Report&StreetName=00010&StreetSegment=0260,1,ART,N,306.1040701
7273126,1019,10,270,100270,1ST AVE BETWEEN CEDAR ST AND CLAY ST,1ST AVE,1ST AVE,INSVC,DISTRICT7, ,N,CEDAR ST,CLAY ST,2,Minor Arterial, ,2700,25,NW,N, , ,306,52,AC/PCC,10/31/2022 12:00:00 AM,,,1ST AVE AND CEDAR ST,NW,29684,1ST AVE AND CLAY ST,SE,29677,1266103.945,228417.6118,System.Byte[],Y,N,N,Downtown Neighborhood,,57,0,2,MAJOR TRANSIT ROUTE,,http://wdcsqlpwrk03/ReportServer/Pages/ReportViewer.aspx?/DOT/Asset%20Management/Blocks/Block%20Report&StreetName=00010&StreetSegment=0270,1,ART,N,305.9844537
7273127,1020,10,280,100280,1ST AVE BETWEEN CLAY ST AND BROAD ST,1ST AVE,1ST AVE,INSVC,DISTRICT7, ,N,CLAY ST,BROAD ST,2,Minor Arterial, ,2800,25,NW,N, , ,313,52,AC/PCC,10/31/2022 12:00:00 AM,,,1ST AVE AND CLAY ST,NW,29677,1ST AVE AND BROAD ST,SE,29665,1265874.867,228625.8431,System.Byte[],Y,N,N,Downtown Neighborhood,,57,0,2,MAJOR TRANSIT ROUTE,,http://wdcsqlpwrk03/ReportServer/Pages/ReportViewer.aspx?/DOT/Asset%20Management/Blocks/Block%20Report&StreetName=00010&StreetSegment=0280,1,ART,N,313.1670737
7273128,1023,10,301,100301,1ST AVE BETWEEN WARREN PL AND BAY ST,1ST AVE,1ST AVE,INSVC,DISTRICT7, ,N,WARREN PL,BAY ST,2,Minor Arterial, ,3000,25,NW,N, , ,321,52,AC/PCC,10/31/2022 12:00:00 AM,,,1ST AVE AND WARREN PL,NW,29661,1ST AVE AND BAY ST,SE,29721,1265241.077,229201.1035,System.Byte[],Y,N,N,Downtown Neighborhood,,48,0,1,PRINCIPAL TRANSIT ROUTE,,http://wdcsqlpwrk03/ReportServer/Pages/ReportViewer.aspx?/DOT/Asset%20Management/Blocks/Block%20Report&StreetName=00010&StreetSegment=0301,2,ART,N,320.8215778
7273129,1025,15,10,150010,1ST AVE N BETWEEN DENNY WAY AND JOHN ST,1ST AVE N,1ST AVE N,INSVC,DISTRICT7, ,N,DENNY WAY,JOHN ST,1,Principal Arterial, ,100,25,N,Y,N,F,425,42,AC/PCC,10/31/2022 12:00:00 AM,,,1ST AVE AND DENNY WAY,N,29717,1ST AVE N AND JOHN ST,S,28937,1265049.907,229572.1161,System.Byte[],Y,N,N,Urban Village Main,,29,0,2,MAJOR TRANSIT ROUTE,,http://wdcsqlpwrk03/ReportServer/Pages/ReportViewer.aspx?/DOT/Asset%20Management/Blocks/Block%20Report&StreetName=00015&StreetSegment=0010,4,ART,N,425.3474943
7273130,1026,15,20,150020,1ST AVE N BETWEEN JOHN ST AND THOMAS ST,1ST AVE N,1ST AVE N,INSVC,DISTRICT7, ,N,JOHN ST,THOMAS ST,1,Principal Arterial, ,200,25,N,Y,N,F,426,42,AC/PCC,10/31/2022 12:00:00 AM,,,1ST AVE N AND JOHN ST,N,28937,1ST AVE N AND THOMAS ST,S,28930,1265060.706,229997.6011,System.Byte[],Y,N,N,Urban Village Main,,29,0,2,MAJOR TRANSIT ROUTE,,http://wdcsqlpwrk03/ReportServer/Pages/ReportViewer.aspx?/DOT/Asset%20Management/Blocks/Block%20Report&StreetName=00015&StreetSegment=0020,5,ART,N,425.8964155
7273131,1028,15,40,150040,1ST AVE N BETWEEN HARRISON ST AND REPUBLICAN ST,1ST AVE N,1ST AVE N,INSVC,DISTRICT7, ,N,HARRISON ST,REPUBLICAN ST,1,Principal Arterial, ,400,25,N,Y,N,F,426,42,AC/PCC,10/31/2022 12:00:00 AM,,,1ST AVE N AND HARRISON ST,N,28924,1ST AVE N AND REPUBLICAN ST,S,28920,1265082.288,230849.2276,System.Byte[],Y,N,N,Urban Village Main,,57,0,2,MAJOR TRANSIT ROUTE,,http://wdcsqlpwrk03/ReportServer/Pages/ReportViewer.aspx?/DOT/Asset%20Management/Blocks/Block%20Report&StreetName=00015&StreetSegment=0040,4,ART,N,426.1733447
7273149,1054,15,250,150250,1ST AVE N BETWEEN SMITH ST AND QUEEN ANNE DR,1ST AVE N,1ST AVE N,INSVC,DISTRICT7, ,N,SMITH ST,QUEEN ANNE DR,2,Minor Arterial, ,2500,25,N,N, , ,153,36,PCC,10/31/2022 12:00:00 AM,,,1ST AVE N AND SMITH ST,N,28098,1ST AVE N AND QUEEN ANNE DR,S,28076,1265184.484,237763.6703,System.Byte[],N,N,N,Neighborhood Corridor,,76,0,3,MINOR TRANSIT ROUTE,,http://wdcsqlpwrk03/ReportServer/Pages/ReportViewer.aspx?/DOT/Asset%20Management/Blocks/Block%20Report&StreetName=00015&StreetSegment=0250,5,ART,N,153.0281228
7273171,1085,20,750,200750,1ST AVE NE BETWEEN WOODLAWN N AVE NE AND NE 77TH ST,1ST AVE NE,1ST AVE NE,INSVC,DISTRICT6, ,N,WOODLAWN N AVE NE,NE 77TH ST,3,Collector Arterial, ,7500,25,N,N, , ,658,36,PCC,10/31/2022 12:00:00 AM,,,1ST AVE NE AND WOODLAWN N AVE NE,N,24568,1ST AVE NE AND NE 77TH ST,S,24543,1272203.581,253130.8633,System.Byte[],N,N,N,Neighborhood Corridor,,72,0,3,MINOR TRANSIT ROUTE,,http://wdcsqlpwrk03/ReportServer/Pages/ReportViewer.aspx?/DOT/Asset%20Management/Blocks/Block%20Report&StreetName=00020&StreetSegment=0750,5,ART,N,658.2209742
7273173,1088,20,850,200850,1ST AVE NE BETWEEN NE 85TH ST AND NE 90TH ST,1ST AVE NE,1ST AVE NE,INSVC,DISTRICT5, ,N,NE 85TH ST,NE 90TH ST,0,Not Designated, ,8500,20,N,N, , ,1330,0,ST,,,,1ST AVE NE AND NE 85TH ST,N,37608,1ST AVE NE AND NE 90TH ST,S,37582,1272238.83,256092.3619,System.Byte[],Y,N,N,Neighborhood Yield Street,,0,0,2,MAJOR TRANSIT ROUTE,,http://wdcsqlpwrk03/ReportServer/Pages/ReportViewer.aspx?/DOT/Asset%20Management/Blocks/Block%20Report&StreetName=00020&StreetSegment=0850,1,NON-ART,N,1329.807818
7273174,1089,20,900,200900,1ST AVE NE BETWEEN NE 90TH ST AND NE 91ST ST,1ST AVE NE,1ST AVE NE,INSVC,DISTRICT5, ,N,NE 90TH ST,NE 91ST ST,0,Not Designated, ,9000,20,N,N, , ,333,25,PCC,6/21/2013 12:00:00 AM,,,1ST AVE NE AND NE 90TH ST,N,37582,1ST AVE NE AND NE 91ST ST,S,37581,1272248.772,256923.4586,System.Byte[],Y,N,N,Neighborhood Yield Street,,69,0,2,MAJOR TRANSIT ROUTE,,http://wdcsqlpwrk03/ReportServer/Pages/ReportViewer.aspx?/DOT/Asset%20Management/Blocks/Block%20Report&StreetName=00020&StreetSegment=0900,1,NON-ART,N,332.5229895
7273175,1090,20,910,200910,1ST AVE NE BETWEEN NE 91ST ST AND NE 92ND ST,1ST AVE NE,1ST AVE NE,INSVC,DISTRICT5, ,N,NE 91ST ST,NE 92ND ST,0,Not Designated, ,9100,20,N,N, , ,333,25,PCC,6/21/2013 12:00:00 AM,,,1ST AVE NE AND NE 91ST ST,N,37581,1ST AVE NE AND NE 92ND ST,S,37578,1272252.749,257255.9578,System.Byte[],Y,N,N,Neighborhood Yield Street,,69,0,2,MAJOR TRANSIT ROUTE,,http://wdcsqlpwrk03/ReportServer/Pages/ReportViewer.aspx?/DOT/Asset%20Management/Blocks/Block%20Report&StreetName=00020&StreetSegment=0910,0,NON-ART,N,332.5229864
7273176,1091,20,920,200920,1ST AVE NE BETWEEN NE 92ND ST AND NE 94TH ST,1ST AVE NE,1ST AVE NE,INSVC,DISTRICT5, ,N,NE 92ND ST,NE 94TH ST,2,Minor Arterial, ,9200,25,N,N, , ,333,22,AC/AC,10/31/2022 12:00:00 AM,,,1ST AVE NE AND NE 92ND ST,N,37578,1ST AVE NE AND NE 94TH ST,S,37574,1272257.607,257594.3275,System.Byte[],N,N,N,Urban Center Connector,,51,0,3,MINOR TRANSIT ROUTE,,http://wdcsqlpwrk03/ReportServer/Pages/ReportViewer.aspx?/DOT/Asset%20Management/Blocks/Block%20Report&StreetName=00020&StreetSegment=0920,5,ART,N,344.2883967
7273177,1093,20,950,200950,1ST AVE NE BETWEEN NE 95TH ST AND NE 100TH ST,1ST AVE NE,1ST AVE NE,INSVC,DISTRICT5, ,N,NE 95TH ST,NE 100TH ST,2,Minor Arterial, ,9500,25,N,N, , ,1325,26,AC/AC,10/31/2022 12:00:00 AM,,,1ST AVE NE AND NE 95TH ST,N,37570,1ST AVE NE AND NE 100TH ST,S,37558,1272269.676,258749.6867,System.Byte[],N,N,N,Urban Village Neighborhood,,55,0,3,MINOR TRANSIT ROUTE,,http://wdcsqlpwrk03/ReportServer/Pages/ReportViewer.aspx?/DOT/Asset%20Management/Blocks/Block%20Report&StreetName=00020&StreetSegment=0950,3,ART,N,1325.044074
7273178,1094,20,1000,201000,1ST AVE NE BETWEEN NE 100TH ST AND NE 103RD ST,1ST AVE NE,1ST AVE NE,INSVC,DISTRICT5, ,N,NE 100TH ST,NE 103RD ST,2,Minor Arterial, ,10000,25,N,N, , ,663,49,AC,10/31/2022 12:00:00 AM,,,1ST AVE NE AND NE 100TH ST,N,37558,1ST AVE NE AND NE 103RD ST,S,37555,1272280.151,259743.4143,System.Byte[],N,N,N,Urban Village Neighborhood,,57,0,2,MAJOR TRANSIT ROUTE,,http://wdcsqlpwrk03/ReportServer/Pages/ReportViewer.aspx?/DOT/Asset%20Management/Blocks/Block%20Report&StreetName=00020&StreetSegment=1000,0,ART,N,662.5215454
7273179,1095,20,1030,201030,1ST AVE NE BETWEEN NE 103RD ST AND I5 EXPRESS ON RP,1ST AVE NE,1ST AVE NE,INSVC,DISTRICT5, ,N,NE 103RD ST,I5 EXPRESS ON RP,1,Principal Arterial, ,10300,25,N,N, , ,201,54,AC/PCC,10/31/2022 12:00:00 AM,,,1ST AVE NE AND NE 103RD ST,N,37555,1ST AVE NE AND I5 EXPRESS ON RP,S,37567,1272284.701,260175.0777,System.Byte[],N,N,Y,Urban Village Main,,40,0,2,MAJOR TRANSIT ROUTE,,http://wdcsqlpwrk03/ReportServer/Pages/ReportViewer.aspx?/DOT/Asset%20Management/Blocks/Block%20Report&StreetName=00020&StreetSegment=1030,2,ART,N,200.8531424
7273180,1096,20,1031,201031,1ST AVE NE BETWEEN I5 EXPRESS ON RP AND NE 105TH ST,1ST AVE NE,1ST AVE NE,INSVC,DISTRICT5, ,N,I5 EXPRESS ON RP,NE 105TH ST,1,Principal Arterial, ,10300,25,N,N, , ,462,54,AC/PCC,10/31/2022 12:00:00 AM,,,1ST AVE NE AND I5 EXPRESS ON RP,N,37567,1ST AVE NE AND NE 105TH ST,S,37566,1272288.193,260506.3216,System.Byte[],N,N,Y,Urban Village Main,,40,0,2,MAJOR TRANSIT ROUTE,,http://wdcsqlpwrk03/ReportServer/Pages/ReportViewer.aspx?/DOT/Asset%20Management/Blocks/Block%20Report&StreetName=00020&StreetSegment=1031,2,ART,N,461.6714748
7273181,1098,20,1070,201070,1ST AVE NE BETWEEN I5 NB 1ST AV NE OFF RP AND NE NORTHGATE WAY,1ST AVE NE,1ST AVE NE,INSVC,DISTRICT5, ,N,I5 NB 1ST AV NE OFF RP,NE NORTHGATE WAY,1,Principal Arterial, ,10700,25,N,N, , ,663,77,AC/PCC,10/31/2022 12:00:00 AM,,,1ST AVE NE AND I5 NB 1ST AV NE OFF RP,N,36595,1ST AVE NE AND NE NORTHGATE WAY,S,36586,1272294.303,261731.006,System.Byte[],N,N,Y,Urban Village Main,Y,42,0,2,MAJOR TRANSIT ROUTE,,http://wdcsqlpwrk03/ReportServer/Pages/ReportViewer.aspx?/DOT/Asset%20Management/Blocks/Block%20Report&StreetName=00020&StreetSegment=1070,1,ART,N,662.5829649
7273182,1101,20,1170,201170,1ST AVE NE BETWEEN N 117TH ST AND NE 120TH ST,1ST AVE NE,1ST AVE NE,INSVC,DISTRICT5, ,N,N 117TH ST,NE 120TH ST,3,Collector Arterial, ,11700,25,N,N, , ,663,30,ST,12/01/2019 00:00,,,1ST AVE NE AND N 117TH ST,N,36557,1ST AVE NE AND NE 120TH ST,S,36551,1272304.479,264380.9405,System.Byte[],N,N,N,Neighborhood Corridor,,50,0,3,MINOR TRANSIT ROUTE,,http://wdcsqlpwrk03/ReportServer/Pages/ReportViewer.aspx?/DOT/Asset%20Management/Blocks/Block%20Report&StreetName=00020&StreetSegment=1170,3,ART,N,663.3306746
7273183,1103,20,1220,201220,1ST AVE NE BETWEEN N 122ND ST AND CORLISS S AVE N,1ST AVE NE,1ST AVE NE,INSVC,DISTRICT5, ,N,N 122ND ST,CORLISS S AVE N,3,Collector Arterial, ,12200,25,N,N, , ,837,24,ST,12/01/2019 00:00,,,1ST AVE NE AND N 122ND ST,N,36547,1ST AVE NE AND CORLISS S AVE N,S,670572,1272296.048,265566.2869,System.Byte[],N,N,N,Neighborhood Corridor,,43,0,3,MINOR TRANSIT ROUTE,,http://wdcsqlpwrk03/ReportServer/Pages/ReportViewer.aspx?/DOT/Asset%20Management/Blocks/Block%20Report&StreetName=00020&StreetSegment=1220,2,ART,N,837.0635319
7273184,1104,20,1250,201250,1ST AVE NE BETWEEN CORLISS N AVE N AND N 128TH ST,1ST AVE NE,1ST AVE NE,INSVC,DISTRICT5, ,N,CORLISS N AVE N,N 128TH ST,3,Collector Arterial, ,12500,25,N,N, , ,835,42,ST,9/23/2017 12:00:00 AM,PCC,11/05/2017 00:00,1ST AVE NE AND CORLISS N AVE N,N,670571,1ST AVE NE AND N 128TH ST,S,35974,1272304.339,266512.6126,System.Byte[],N,N,N,Neighborhood Corridor,,17,84,3,MINOR TRANSIT ROUTE,,http://wdcsqlpwrk03/ReportServer/Pages/ReportViewer.aspx?/DOT/Asset%20Management/Blocks/Block%20Report&StreetName=00020&StreetSegment=1250,2,ART,N,834.5620854
7273185,1105,20,1280,201280,1ST AVE NE BETWEEN N 128TH ST AND NE 130TH ST,1ST AVE NE,1ST AVE NE,INSVC,DISTRICT5, ,N,N 128TH ST,NE 130TH ST,3,Collector Arterial, ,12800,25,N,N, , ,436,21,ST,9/23/2017 12:00:00 AM,,,1ST AVE NE AND N 128TH ST,N,35974,1ST AVE NE AND NE 130TH ST,S,35969,1272322.416,267147.4582,System.Byte[],N,N,N,Neighborhood Corridor,,17,0,3,MINOR TRANSIT ROUTE,,http://wdcsqlpwrk03/ReportServer/Pages/ReportViewer.aspx?/DOT/Asset%20Management/Blocks/Block%20Report&StreetName=00020&StreetSegment=1280,1,ART,N,435.6438057
7273186,1107,20,1330,201330,1ST AVE NE BETWEEN NE 133RD ST AND ROOSEVELT WAY NE,1ST AVE NE,1ST AVE NE,INSVC,DISTRICT5, ,N,NE 133RD ST,ROOSEVELT WAY NE,3,Collector Arterial, ,13300,25,N,N, , ,413,24,AC,10/31/2022 12:00:00 AM,,,1ST AVE NE AND NE 133RD ST,N,35958,1ST AVE NE AND ROOSEVELT WAY NE,S,35947,1272353.516,268234.8002,System.Byte[],N,N,N,Neighborhood Corridor,,54,0,3,MINOR TRANSIT ROUTE,,http://wdcsqlpwrk03/ReportServer/Pages/ReportViewer.aspx?/DOT/Asset%20Management/Blocks/Block%20Report&StreetName=00020&StreetSegment=1330,1,ART,N,412.7145021
7273187,1108,20,1333,201333,1ST AVE NE BETWEEN ROOSEVELT WAY NE AND NE 135TH ST,1ST AVE NE,1ST AVE NE,INSVC,DISTRICT5, ,N,ROOSEVELT WAY NE,NE 135TH ST,3,Collector Arterial, ,13300,25,N,N, , ,251,24,AC,10/31/2022 12:00:00 AM,,,1ST AVE NE AND ROOSEVELT WAY NE,N,35947,1ST AVE NE AND NE 135TH ST,S,35948,1272363.005,268566.4428,System.Byte[],N,N,N,Neighborhood Corridor,,54,0,3,MINOR TRANSIT ROUTE,,http://wdcsqlpwrk03/ReportServer/Pages/ReportViewer.aspx?/DOT/Asset%20Management/Blocks/Block%20Report&StreetName=00020&StreetSegment=1333,0,ART,N,250.8421855
7273188,1110,20,1354,201354,1ST AVE NE BETWEEN NE 137TH ST AND N 137TH ST,1ST AVE NE,1ST AVE NE,INSVC,DISTRICT5, ,N,NE 137TH ST,N 137TH ST,3,Collector Arterial, ,13500,25,N,N, , ,156,22,AC/AC,10/31/2022 12:00:00 AM,,,1ST AVE NE AND NE 137TH ST,N,35937,1ST AVE NE AND N 137TH ST,S,35929,1272377.403,269278.3134,System.Byte[],N,N,N,Neighborhood Corridor,,86,0,3,MINOR TRANSIT ROUTE,,http://wdcsqlpwrk03/ReportServer/Pages/ReportViewer.aspx?/DOT/Asset%20Management/Blocks/Block%20Report&StreetName=00020&StreetSegment=1354,0,ART,N,155.8649607
