OBJECTID,COMPKEY,UNITID,UNITID2,UNITIDSORT,UNITDESC,STNAME_ORD,ONSTREET,STATUS,PRIMARYDISTRICTCD,SECONDARYDISTRICTCD,OVERRIDEYN,XSTRLO,XSTRHI,ARTCLASS,ARTDESCRIPT,OWNER,BLOCKNBR,SPEEDLIMIT,SEGDIR,ONEWAY,ONEWAYDIR,FLOW,SEGLENGTH,SURFACEWIDTH,SURFACETYPE_1,SURFACEDATE_1,SURFACETYPE_2,SURFACEDATE_2,INTRLO,DIRLO,INTKEYLO,INTRHI,DIRHI,INTKEYHI,GIS_MID_X,GIS_MID_Y,SE_ANNO_CAD_DATA,SGNDBKROUTE,NGHBRHDGRNWY,NATIONHWYSYS,STREETTYPE,MJTRK_STR_FLAG,PVMTCONDINDX1,PVMTCONDINDX2,TRANCLASS,TRANDESCRIPT,OVERRIDECOMMENT,BLOCK_URL,SLOPE_PCT,PVMTCATEGORY,PARKBOULEVARD,Shape__Length
7282318,14412,11300,683,113000683,EAST MARGINAL WAY S BETWEEN S WILLOW ST AND CORSON AVE S,EAST MARGINAL WAY S,EAST MARGINAL WAY S,INSVC,DISTRICT1, ,N,S WILLOW ST,CORSON AVE S,1,Principal Arterial, ,6900,30,SE,N, , ,206,58,AC/PCC,10/31/2022 12:00:00 AM,,,EAST MARGINAL WAY S AND S WILLOW ST,SE,34239,CORSON AVE S AND EAST MARGINAL WAY S,NW,34187,1272250.615,200797.1324,System.Byte[],N,N,Y,Industrial Access,Y,53,0,2,MAJOR TRANSIT ROUTE,,http://wdcsqlpwrk03/ReportServer/Pages/ReportViewer.aspx?/DOT/Asset%20Management/Blocks/Block%20Report&StreetName=11300&StreetSegment=0683,0,ART,N,206.0106564
7282320,14413,11300,695,113000695,EAST MARGINAL WAY S BETWEEN CORSON AVE S AND CARLETON AVE S,EAST MARGINAL WAY S,EAST MARGINAL WAY S,INSVC,DISTRICT1, ,N,CORSON AVE S,CARLETON AVE S,1,Principal Arterial, ,6900,30,SE,N, , ,368,68,AC/PCC,10/31/2022 12:00:00 AM,,,CORSON AVE S AND EAST MARGINAL WAY S,SE,34187,CARLETON AVE S AND EAST MARGINAL WAY S,NW,34188,1272460.105,200600.6171,System.Byte[],N,N,Y,Industrial Access,Y,52,0,2,MAJOR TRANSIT ROUTE,,http://wdcsqlpwrk03/ReportServer/Pages/ReportViewer.aspx?/DOT/Asset%20Management/Blocks/Block%20Report&StreetName=11300&StreetSegment=0695,0,ART,N,368.4786063
7282322,14414,11300,700,113000700,EAST MARGINAL WAY S BETWEEN CARLETON AVE S AND S MYRTLE ST,EAST MARGINAL WAY S,EAST MARGINAL WAY S,INSVC,DISTRICT1, ,N,CARLETON AVE S,S MYRTLE ST,1,Principal Arterial, ,7000,30,SE,N, , ,222,68,AC/PCC,10/31/2022 12:00:00 AM,,,CARLETON AVE S AND EAST MARGINAL WAY S,SE,34188,EAST MARGINAL WAY S AND S MYRTLE ST,NW,34215,1272676.579,200399.598,System.Byte[],N,N,Y,Industrial Access,Y,52,0,2,MAJOR TRANSIT ROUTE,,http://wdcsqlpwrk03/ReportServer/Pages/ReportViewer.aspx?/DOT/Asset%20Management/Blocks/Block%20Report&StreetName=11300&StreetSegment=0700,0,ART,N,222.4061159
7282324,14415,11300,710,113000710,EAST MARGINAL WAY S BETWEEN S MYRTLE ST AND ELLIS AVE S,EAST MARGINAL WAY S,EAST MARGINAL WAY S,INSVC,DISTRICT1, ,N,S MYRTLE ST,ELLIS AVE S,1,Principal Arterial, ,7100,30,SE,N, , ,424,68,AC/PCC,10/31/2022 12:00:00 AM,,,EAST MARGINAL WAY S AND S MYRTLE ST,SE,34215,ELLIS AVE S AND EAST MARGINAL WAY S,NW,34195,1272913.467,200179.4412,System.Byte[],N,N,Y,Industrial Access,Y,52,0,2,MAJOR TRANSIT ROUTE,,http://wdcsqlpwrk03/ReportServer/Pages/ReportViewer.aspx?/DOT/Asset%20Management/Blocks/Block%20Report&StreetName=11300&StreetSegment=0710,0,ART,N,424.4429464
7282327,14416,11300,720,113000720,EAST MARGINAL WAY S BETWEEN ELLIS AVE S AND S WEBSTER ST,EAST MARGINAL WAY S,EAST MARGINAL WAY S,INSVC,DISTRICT1, ,N,ELLIS AVE S,S WEBSTER ST,1,Principal Arterial, ,7200,30,SE,N, , ,1769,69,AC/PCC,10/31/2022 12:00:00 AM,,,ELLIS AVE S AND EAST MARGINAL WAY S,SE,34195,EAST MARGINAL WAY S AND S WEBSTER ST,NW,34201,1273732.726,199450.2552,System.Byte[],Y,N,Y,Industrial Access,Y,51,0,2,MAJOR TRANSIT ROUTE,,http://wdcsqlpwrk03/ReportServer/Pages/ReportViewer.aspx?/DOT/Asset%20Management/Blocks/Block%20Report&StreetName=11300&StreetSegment=0720,0,ART,N,1769.20283
7282329,14417,11300,740,113000740,EAST MARGINAL WAY S BETWEEN S WEBSTER ST AND 14TH AVE S,EAST MARGINAL WAY S,EAST MARGINAL WAY S,INSVC,DISTRICT1, ,N,S WEBSTER ST,14TH AVE S,1,Principal Arterial, ,7400,30,SE,N, , ,124,69,AC/PCC,10/31/2022 12:00:00 AM,,,EAST MARGINAL WAY S AND S WEBSTER ST,SE,34201,14TH AVE S AND EAST MARGINAL WAY S,NW,34211,1274431.194,198811.807,System.Byte[],Y,N,Y,Industrial Access,Y,51,0,2,MAJOR TRANSIT ROUTE,,http://wdcsqlpwrk03/ReportServer/Pages/ReportViewer.aspx?/DOT/Asset%20Management/Blocks/Block%20Report&StreetName=11300&StreetSegment=0740,0,ART,N,123.604568
7282345,13148,10060,150,100600150,THORNDYKE AVE W BETWEEN W GALER ST AND W HAYES ST,THORNDYKE AVE W,THORNDYKE AVE W,INSVC,DISTRICT7, ,N,W GALER ST,W HAYES ST,2,Minor Arterial, ,1500,25,N,N, , ,737,32,PCC,10/31/2022 12:00:00 AM,,,THORNDYKE AVE W AND W GALER ST,N,27754,THORNDYKE AVE W AND W HAYES ST,S,27744,1256174.046,234879.4837,System.Byte[],Y,N,N,Urban Center Connector,,87,0,3,MINOR TRANSIT ROUTE,,http://wdcsqlpwrk03/ReportServer/Pages/ReportViewer.aspx?/DOT/Asset%20Management/Blocks/Block%20Report&StreetName=10060&StreetSegment=0150,5,ART,N,688.2149323
7282347,12041,8950,30,89500030,OLIVE WAY BETWEEN 3RD AVE AND 4TH AVE,OLIVE WAY,OLIVE WAY,INSVC,DISTRICT7, ,N,3RD AVE,4TH AVE,1,Principal Arterial, ,300,25,NE,Y,NE,F,328,24,AC/PCC,10/31/2022 12:00:00 AM,,,3RD AVE AND STEWART ST,NE,29564,4TH AVE AND OLIVE WAY,SW,29566,1269037.127,226837.7502,System.Byte[],N,N,Y,Downtown,,70,0,1,PRINCIPAL TRANSIT ROUTE,,http://wdcsqlpwrk03/ReportServer/Pages/ReportViewer.aspx?/DOT/Asset%20Management/Blocks/Block%20Report&StreetName=08950&StreetSegment=0030,4,ART,N,328.0006966
7282349,13150,10060,180,100600180,THORNDYKE AVE W BETWEEN W BLAINE ST AND MAGNOLIA WAY W,THORNDYKE AVE W,THORNDYKE AVE W,INSVC,DISTRICT7, ,N,W BLAINE ST,MAGNOLIA WAY W,2,Minor Arterial, ,1800,25,NE,N, , ,421,38,AC,10/31/2022 12:00:00 AM,,,THORNDYKE AVE W AND W BLAINE ST,NE,27728,MAGNOLIA WAY W AND THORNDYKE AVE W,SW,27722,1256611.175,235713.3684,System.Byte[],Y,N,N,Neighborhood Corridor,,32,0,3,MINOR TRANSIT ROUTE,,http://wdcsqlpwrk03/ReportServer/Pages/ReportViewer.aspx?/DOT/Asset%20Management/Blocks/Block%20Report&StreetName=10060&StreetSegment=0180,4,ART,N,447.3375061
7282351,13151,10060,190,100600190,THORNDYKE AVE W BETWEEN MAGNOLIA WAY W AND W PLYMOUTH ST,THORNDYKE AVE W,THORNDYKE AVE W,INSVC,DISTRICT7, ,N,MAGNOLIA WAY W,W PLYMOUTH ST,2,Minor Arterial, ,1900,25,NE,N, , ,78,38,AC,10/31/2022 12:00:00 AM,,,MAGNOLIA WAY W AND THORNDYKE AVE W,NE,27722,THORNDYKE AVE W AND W PLYMOUTH ST,SW,27723,1256745.781,235938.7094,System.Byte[],Y,N,N,Neighborhood Corridor,,32,0,3,MINOR TRANSIT ROUTE,,http://wdcsqlpwrk03/ReportServer/Pages/ReportViewer.aspx?/DOT/Asset%20Management/Blocks/Block%20Report&StreetName=10060&StreetSegment=0190,5,ART,N,78.49167496
