Model,R²,MAE,MSE,RMSE
Decision Tree (Default),1.0,0.0,0.0,0.0
Decision Tree (Controlled),0.0,0.7372121212121204,2.989149414141408,1.7289156758330952
Linear Regression,0.0,0.8967902805895214,1.9224260605174044,1.3865157988704653
Polynomial Regression (Deg 2),0.0,256.05498573314804,591852.9299647452,769.3197839421167
Polynomial Regression (Deg 3),0.0,377.1638268642999,1275708.2917255007,1129.4725723653057
ANN Config 1,0.0,41.939846916765475,8246.291347031802,90.80909286537225
ANN Config 2,0.0,46.75391963606572,3111.875661170394,55.7841882720399
